WR,N,on_shell_count,off_shell_count,offshell_below99_count
1000,200,3390,1610,83
2500,1400,3870,1130,13
2000,400,3675,1325,113
2500,1000,3901,1099,36
1500,1100,3587,1413,9
2500,1800,3856,1144,7
1500,800,3593,1407,15
2500,1600,3873,1127,14
2500,1200,3897,1103,21
2000,300,3606,1394,165
2500,1300,3857,1143,15
2000,700,3800,1200,48
2500,1100,3884,1116,21
1500,600,3604,1396,27
2000,500,3721,1279,77
2000,1900,3672,1328,13
2500,500,3763,1237,138
2500,100,3656,1344,343
2500,700,3832,1168,88
1500,200,3573,1427,98
1000,600,3418,1582,16
1500,900,3608,1392,13
2500,2200,3853,1147,16
1500,500,3563,1437,40
2500,1500,3897,1103,10
2500,800,3811,1189,86
2500,900,3836,1164,42
2000,1800,3729,1271,11
1000,500,3431,1569,12
1500,300,3533,1467,90
1000,900,3367,1633,20
2500,400,3715,1285,217
2000,900,3760,1240,20
2000,1000,3760,1240,16
2500,1700,3857,1143,16
2000,200,3630,1370,181
1000,300,3434,1566,47
1500,1200,3617,1383,17
2000,100,3595,1405,228
1500,1300,3580,1420,12
1500,1400,3571,1429,28
1500,700,3646,1354,25
1500,1000,3584,1416,15
2000,1700,3776,1224,10
1000,400,3420,1580,36
2500,200,3621,1379,322
2000,600,3748,1252,65
2000,800,3780,1220,31
1000,700,3421,1579,20
1000,800,3418,1582,12
2500,2300,3888,1112,12
2500,300,3665,1335,263
1500,400,3663,1337,49
2500,2400,3823,1177,7
2500,2100,3877,1123,9
2500,600,3825,1175,134
1500,100,3561,1439,151
3000,100,3570,1430,603
3000,500,3812,1188,272
2500,2000,3907,1093,13
3000,600,3889,1111,202
3000,400,3757,1243,322
3000,2600,3956,1044,12
3500,2800,4094,906,13
3500,700,3858,1142,312
3000,2700,3999,1001,6
3000,1200,3966,1034,50
3000,2800,3985,1015,12
3500,1700,4133,867,16
3500,2500,4110,890,12
3000,200,3574,1426,501
3000,900,3925,1075,110
3000,300,3638,1362,438
3500,400,3657,1343,546
3000,1800,3978,1022,10
3000,1000,3924,1076,85
3000,1900,3985,1015,9
3000,1500,3975,1025,17
3000,1100,3987,1013,56
3000,700,3827,1173,187
3500,1400,4094,906,75
3500,1800,4124,876,18
3000,1700,4024,976,12
3500,2000,4141,859,8
3000,1600,4005,995,13
3000,2500,4024,976,8
3000,1300,3992,1008,32
3500,3000,4119,881,9
3000,1400,4002,998,25
3500,200,3455,1545,787
3000,2300,3966,1034,7
3000,800,3895,1105,147
3500,500,3697,1303,507
3500,1600,4096,904,34
3000,2000,3988,1012,10
3500,3100,4076,924,5
3500,2300,4116,884,11
3000,2200,3961,1039,7
3500,3300,4063,937,7
3500,300,3572,1428,632
3500,100,3374,1626,912
3000,2100,3946,1054,10
3000,2400,3994,1006,5
3500,2100,4138,862,7
3500,2400,4134,866,12
3500,900,3926,1074,222
3500,800,3858,1142,294
3000,2900,3890,1110,11
3500,600,3790,1210,410
3500,1300,4051,949,80
3500,2600,4103,897,10
3500,2700,4089,911,11
