mass_bin_center,result_WR1000_N100,result_WR1000_N200,result_WR1000_N300,result_WR1000_N400,result_WR1000_N500,result_WR1000_N600,result_WR1000_N700,result_WR1000_N800,result_WR1000_N900
5.0041356492969395,0,0,0,0,0,0,0,0,0
15.012406947890819,0,0,0,0,0,0,0,0,0
25.0206782464847,0,0,0,0,0,0,0,0,0
35.028949545078575,0,0,0,0,0,0,0,0,0
45.03722084367246,0,0,0,0,0,0,0,0,0
55.04549214226634,0,0,0,0,0,0,0,0,0
65.05376344086021,0,0,0,0,0,0,0,0,0
75.06203473945409,0,0,0,0,0,0,0,0,0
85.07030603804797,0,0,0,0,0,0,0,0,0
95.07857733664186,0,0,0,0,0,0,0,0,0
105.08684863523573,0,0,0,0,0,0,0,0,0
115.09511993382961,0,0,0,0,0,0,0,0,0
125.10339123242349,1,0,0,0,0,0,0,0,0
135.11166253101737,0,0,0,0,0,0,0,0,0
145.11993382961123,0,0,0,0,0,0,0,0,0
155.12820512820514,1,0,0,0,0,0,0,0,0
165.136476426799,2,0,0,0,0,0,0,0,0
175.1447477253929,1,0,0,0,0,0,0,0,0
185.15301902398676,0,0,0,0,0,0,0,0,0
195.16129032258067,0,0,0,0,0,0,0,0,0
205.16956162117452,0,0,0,0,0,0,0,0,0
215.17783291976838,0,0,0,0,0,0,0,0,0
225.1861042183623,2,0,0,0,0,0,0,0,0
235.19437551695614,3,1,0,0,0,0,0,0,0
245.20264681555005,2,1,0,0,0,0,0,0,0
255.2109181141439,3,1,0,0,0,0,0,0,0
265.2191894127378,1,1,0,0,0,0,0,0,0
275.2274607113317,2,0,0,0,0,0,0,0,0
285.2357320099255,3,0,0,0,0,0,0,0,0
295.24400330851944,2,0,0,0,0,0,0,0,0
305.25227460711335,3,1,0,0,0,0,0,0,0
315.2605459057072,3,0,0,0,0,0,0,0,0
325.26881720430106,1,1,0,0,0,0,0,0,0
335.2770885028949,4,2,0,0,0,0,0,0,0
345.2853598014888,3,0,0,0,0,0,0,0,0
355.29363110008273,1,0,0,0,0,0,0,0,0
365.3019023986766,4,0,0,0,0,0,0,0,0
375.31017369727044,4,1,0,0,0,0,0,0,0
385.31844499586435,5,0,0,0,0,0,0,0,0
395.32671629445827,2,0,0,0,0,0,0,0,0
405.3349875930521,3,1,0,0,0,0,0,0,0
415.343258891646,4,0,0,0,0,0,0,0,0
425.3515301902398,3,1,0,0,0,0,0,0,0
435.35980148883374,1,0,1,0,0,0,0,0,0
445.36807278742765,4,0,2,0,0,0,0,0,0
455.3763440860215,2,1,1,0,0,0,0,0,0
465.38461538461536,3,0,1,1,0,0,0,0,0
475.39288668320927,2,0,0,0,0,0,0,0,0
485.4011579818031,1,0,0,0,0,0,0,0,0
495.40942928039703,3,1,0,1,0,0,0,0,0
505.4177005789909,4,2,0,0,0,0,0,0,0
515.4259718775847,2,1,0,0,0,0,0,0,0
525.4342431761786,4,1,0,0,0,0,0,0,0
535.4425144747726,5,0,0,0,0,0,0,0,0
545.4507857733664,6,3,0,0,0,0,0,0,0
555.4590570719603,4,0,1,1,0,0,0,0,0
565.4673283705541,8,4,0,1,0,0,0,0,0
575.4755996691481,1,1,0,0,0,0,0,0,0
585.483870967742,6,0,1,0,0,0,0,0,0
595.4921422663358,3,0,0,0,0,0,0,0,0
605.5004135649297,5,0,0,2,0,0,0,0,0
615.5086848635235,9,1,0,0,0,0,0,0,0
625.5169561621175,5,0,2,1,1,0,0,0,0
635.5252274607113,5,3,1,0,0,0,0,0,0
645.5334987593052,7,0,1,0,0,0,0,0,0
655.541770057899,8,1,0,1,0,0,0,0,0
665.550041356493,6,2,1,0,0,0,0,0,0
675.5583126550869,6,0,1,2,2,0,0,0,0
685.5665839536807,2,1,1,1,0,1,0,0,0
695.5748552522746,5,3,3,1,0,1,0,0,0
705.5831265508684,6,2,2,2,0,0,0,0,0
715.5913978494624,10,6,0,1,0,0,0,0,0
725.5996691480563,5,2,2,2,0,1,0,0,0
735.6079404466501,10,1,0,2,1,3,0,0,0
745.616211745244,9,1,3,2,0,1,0,0,0
755.6244830438379,5,1,0,1,2,1,0,0,0
765.6327543424318,8,3,2,2,1,1,1,0,0
775.6410256410256,11,1,1,3,1,1,2,0,0
785.6492969396195,6,0,2,1,1,1,0,0,0
795.6575682382133,10,3,3,0,3,1,1,0,0
805.6658395368073,9,3,1,0,4,1,0,0,0
815.6741108354012,14,3,4,5,1,2,1,0,0
825.682382133995,11,1,1,4,1,1,2,0,0
835.6906534325889,16,1,8,3,2,0,2,0,0
845.6989247311828,15,6,4,4,3,3,1,0,0
855.7071960297767,25,9,3,3,4,3,2,0,0
865.7154673283706,11,4,2,7,2,3,3,2,0
875.7237386269644,28,5,4,4,3,5,3,0,0
885.7320099255583,33,6,7,7,7,4,4,2,0
895.7402812241521,27,6,7,4,6,7,3,1,0
905.7485525227461,26,13,7,12,10,5,8,4,0
915.7568238213399,49,11,15,16,10,9,5,5,0
925.7650951199338,40,13,9,21,16,10,5,3,2
935.7733664185278,75,20,12,16,17,20,15,7,1
945.7816377171216,109,27,30,23,25,30,19,11,12
955.7899090157155,136,28,36,31,38,42,29,36,10
965.7981803143093,220,51,43,49,49,43,50,44,35
975.8064516129032,396,105,105,94,100,90,79,86,59
985.814722911497,766,161,183,183,171,197,190,151,137
995.822994210091,1147,349,347,336,343,356,367,351,353
1005.8312655086849,1156,287,300,282,312,312,332,343,298
1015.8395368072787,552,159,144,173,149,150,158,172,205
1025.8478081058724,329,83,67,93,96,87,79,84,93
1035.8560794044665,151,55,42,42,47,48,53,52,50
1045.8643507030602,102,24,22,18,22,20,25,38,44
1055.8726220016542,66,23,18,16,16,12,15,25,35
1065.8808933002483,53,8,9,11,17,16,22,12,26
1075.889164598842,25,7,13,20,16,15,11,12,24
1085.897435897436,23,8,10,4,4,12,18,15,18
1095.9057071960297,15,3,5,4,4,5,9,9,12
1105.9139784946237,16,5,6,4,5,3,8,11,9
1115.9222497932174,19,4,9,2,5,3,0,6,5
1125.9305210918114,6,4,2,12,5,1,1,7,9
1135.938792390405,9,1,1,2,3,7,3,4,6
1145.9470636889992,7,1,2,2,1,7,7,3,6
1155.9553349875932,8,3,1,2,3,2,1,1,3
1165.9636062861869,7,0,2,2,3,1,3,5,3
1175.971877584781,4,3,0,0,4,2,0,2,8
1185.9801488833746,4,1,3,2,1,2,2,5,5
1195.9884201819686,4,0,4,0,1,2,2,2,9
1205.9966914805623,5,1,2,1,1,1,4,1,8
1216.0049627791564,3,1,1,1,2,0,0,3,4
1226.01323407775,3,0,1,2,1,1,1,3,3
1236.021505376344,1,1,1,1,1,0,1,1,5
1246.0297766749381,2,0,0,2,1,1,1,2,2
1256.0380479735318,4,0,2,0,2,2,2,1,5
1266.0463192721259,1,0,1,3,0,0,1,1,0
1276.0545905707195,1,0,1,0,0,0,0,1,1
1286.0628618693136,3,1,0,2,1,1,0,1,5
1296.0711331679072,0,0,0,0,0,1,1,0,2
1306.0794044665013,2,2,1,2,1,0,0,1,6
1316.087675765095,1,1,1,0,0,0,1,1,2
1326.095947063689,0,1,0,0,0,0,1,1,5
1336.104218362283,0,0,0,0,1,0,0,0,2
1346.1124896608767,0,0,0,1,0,0,1,2,4
1356.1207609594708,1,1,1,0,0,0,0,2,0
1366.1290322580644,0,0,0,0,0,1,0,0,1
1376.1373035566585,4,0,0,0,0,0,0,1,2
1386.145574855252,0,0,0,0,1,1,0,0,1
1396.1538461538462,0,0,0,1,0,0,0,0,1
1406.1621174524398,0,0,0,0,0,0,0,1,1
1416.170388751034,1,0,0,1,1,0,1,1,3
1426.178660049628,1,0,0,0,0,0,0,1,1
1436.1869313482216,0,1,0,0,0,0,0,0,2
1446.1952026468157,0,0,1,0,0,1,0,0,0
1456.2034739454093,0,1,0,0,0,0,0,1,0
1466.2117452440034,0,0,0,0,1,0,0,1,0
1476.220016542597,0,0,0,0,0,0,1,0,0
