WR,N,TotalEvents,OnRange,OffRange,OnShellEvents,OffShellEvents
1000,100,6015,596.5-1396.5,102.1-902.1,5878,449
1000,200,1569,597.6-1397.6,107.6-907.6,1541,113
1000,300,1533,597.7-1397.7,79.4-879.4,1525,59
1000,400,1561,598.0-1398.0,95.2-895.2,1553,65
1000,500,1553,598.9-1398.9,0.0-736.9,1550,4
1000,600,1563,599.0-1399.0,0.0-684.6,1559,0
1000,700,1557,601.6-1401.6,0.0-420.1,1555,0
1000,800,1545,604.8-1404.8,0.0-419.5,1533,0
1000,900,1559,610.7-1410.7,0.0-423.8,1537,0
1500,100,1327,1093.9-1893.9,0.0-1540.1,1266,1202
1500,200,1370,1095.1-1895.1,0.0-1532.8,1318,1191
1500,300,1419,1096.3-1896.3,609.8-1409.8,1363,143
1500,400,1310,1097.7-1897.7,619.6-1419.6,1280,141
1500,500,1416,1096.3-1896.3,585.3-1385.3,1379,98
1500,600,1379,1096.4-1896.4,618.7-1418.7,1353,133
1500,700,1347,1097.5-1897.5,603.5-1403.5,1325,92
1500,800,1400,1097.3-1897.3,561.1-1361.1,1382,62
1500,900,1385,1099.4-1899.4,573.6-1373.7,1377,37
1500,1000,1408,1100.0-1900.0,0.0-789.4,1401,0
1500,1100,1398,1100.5-1900.5,950.0-1750.0,1387,1373
1500,1200,1367,1104.2-1904.2,222.9-1022.9,1353,0
1500,1300,1385,1107.5-1907.5,950.0-1750.0,1363,1334
1500,1400,1324,1120.4-1920.4,0.0-410.6,1261,0
2000,100,1257,1595.2-2395.2,0.0-2343.6,1130,1244
2000,200,1246,1593.3-2393.3,409.0-1564.3,1161,64
2000,300,1279,1595.5-2395.5,904.8-1954.1,1191,280
2000,400,1250,1596.2-2396.2,1140.7-1940.7,1183,233
2000,500,1229,1595.2-2395.2,1127.4-1927.4,1179,221
2000,600,1213,1595.9-2395.9,1133.0-1933.0,1156,196
2000,700,1168,1594.6-2394.6,1133.6-1933.6,1120,183
2000,800,1200,1595.7-2395.7,1143.4-1943.4,1168,208
2000,900,1233,1595.6-2395.6,1132.7-1932.7,1202,194
2000,1000,1235,1596.4-2396.4,1115.1-1915.1,1200,126
2000,1100,1228,1597.5-2397.5,1126.0-1926.0,1200,148
2000,1200,1232,1597.2-2397.2,1097.5-1897.5,1213,97
2000,1300,1234,1600.0-2400.0,740.5-2795.0,1219,1234
2000,1400,1229,1599.8-2399.8,1090.6-1890.6,1216,66
2000,1500,1235,1601.5-2401.5,1400.0-2200.0,1226,1205
2000,1600,1186,1604.0-2404.0,1400.0-2200.0,1174,1144
2000,1700,1199,1606.1-2406.1,1400.0-2200.0,1176,1137
2000,1800,1226,1614.6-2414.6,1400.0-2200.0,1184,1135
2000,1900,1223,1629.9-2429.9,1400.0-2200.0,1140,1049
2500,100,1108,2091.8-2891.8,0.0-3062.4,942,1104
2500,200,1162,2093.7-2893.7,0.0-3176.9,997,1158
2500,300,1160,2095.2-2895.2,519.7-2777.6,1010,1133
2500,400,1133,2095.8-2895.8,0.0-2951.1,1018,1132
2500,500,1137,2095.0-2895.0,1647.9-2447.9,1047,264
2500,600,1080,2093.9-2893.9,894.5-1694.5,994,35
2500,700,1102,2093.8-2893.8,1501.8-2462.8,1026,314
2500,800,1130,2094.5-2894.5,924.7-1724.7,1070,29
2500,900,1138,2095.6-2895.6,1583.8-2456.4,1078,290
2500,1000,1079,2093.0-2893.0,1643.2-2443.2,1029,237
2500,1100,1111,2093.0-2893.0,1652.7-2452.7,1061,275
2500,1200,1097,2095.6-2895.6,1651.6-2451.6,1046,264
2500,1300,1137,2095.2-2895.2,1655.1-2455.1,1097,244
2500,1400,1126,2094.6-2894.6,1500.7-2447.2,1091,249
2500,1500,1099,2097.8-2897.8,855.9-1655.9,1066,0
2500,1600,1121,2098.9-2898.9,1652.4-2452.4,1097,214
2500,1700,1132,2099.0-2899.0,1628.1-2428.1,1105,145
2500,1800,1137,2099.1-2899.1,1602.5-2402.5,1123,75
2500,1900,1078,2101.1-2901.1,1606.5-2406.6,1066,62
2500,2000,1082,2105.0-2905.0,1850.0-2650.0,1071,1011
2500,2100,1114,2105.1-2905.1,1134.5-1934.5,1092,0
2500,2200,1123,2108.5-2908.5,1134.4-1934.4,1080,0
2500,2300,1084,2119.2-2919.2,1850.0-2650.0,1040,933
2500,2400,1075,2138.4-2938.4,1134.4-1934.4,995,0
3000,100,1008,2595.4-3395.4,0.0-3687.7,755,1007
3000,200,1100,2594.9-3394.9,0.0-4313.0,851,1100
3000,300,1066,2593.5-3393.5,0.0-4094.8,864,1065
3000,400,1001,2590.9-3390.9,0.0-3732.4,860,998
3000,500,995,2591.0-3391.0,0.0-3791.2,847,995
3000,600,966,2592.8-3392.8,1243.9-3308.6,832,933
3000,700,1024,2595.0-3395.0,2144.4-2973.4,915,362
3000,800,991,2594.0-3394.0,1261.2-3244.9,873,959
3000,900,995,2595.2-3395.2,2177.5-2977.5,899,408
3000,1000,1017,2595.3-3395.3,2079.4-2986.6,933,422
3000,1100,976,2591.4-3391.4,2181.3-2981.3,909,418
3000,1200,1003,2591.8-3391.8,2163.6-2963.6,929,318
3000,1300,986,2592.9-3392.9,2186.0-2986.0,935,412
3000,1400,983,2596.3-3396.3,2074.7-2980.3,923,408
3000,1500,1017,2593.4-3393.4,2172.1-2972.1,976,356
3000,1600,991,2596.3-3396.3,2178.3-2978.3,944,400
3000,1700,975,2593.8-3393.8,1100.0-1900.0,932,0
3000,1800,1022,2596.5-3396.5,1100.1-1900.1,997,0
3000,1900,1011,2594.3-3394.3,2144.6-2944.6,981,205
3000,2000,1009,2598.5-3398.5,2165.8-2965.8,980,260
3000,2100,1051,2598.9-3398.9,2160.6-2960.6,1021,268
3000,2200,1037,2598.7-3398.7,2146.3-2946.3,1020,180
3000,2300,1028,2601.2-3401.2,2132.9-2933.2,1016,151
3000,2400,993,2602.9-3402.9,1438.8-2238.8,977,0
3000,2500,959,2606.0-3406.0,1074.7-1874.7,941,0
3000,2600,1028,2608.9-3408.9,1441.1-2241.1,1000,0
3000,2700,977,2614.3-3414.3,1441.0-2241.0,940,0
3000,2800,982,2623.2-3423.2,1441.0-2241.0,928,0
3000,2900,980,2644.9-3444.9,1441.0-2241.0,890,0
3500,100,1019,3092.2-3892.2,0.0-904.6,639,175
3500,200,995,3086.6-3886.6,1322.6-2122.6,688,60
3500,300,971,3088.9-3888.9,1501.2-2301.2,705,51
3500,400,971,3090.2-3890.2,0.0-4789.3,719,971
3500,500,939,3090.1-3890.1,0.0-4741.6,723,939
3500,600,911,3092.1-3892.1,0.0-4974.6,724,911
3500,700,925,3093.3-3893.3,0.0-4782.8,753,925
3500,800,922,3091.0-3891.0,0.0-4667.0,771,922
3500,900,913,3090.2-3890.2,0.0-4519.3,780,913
3500,1000,907,3090.0-3890.0,2071.0-3694.7,764,845
3500,1100,861,3091.9-3891.9,1564.9-3855.1,762,839
3500,1200,874,3091.2-3891.2,2654.0-3466.0,774,283
3500,1300,893,3092.6-3892.6,2673.3-3473.3,798,341
3500,1400,857,3089.8-3889.8,1840.6-3778.6,762,827
3500,1500,894,3090.0-3890.0,2678.3-3478.3,812,413
3500,1600,883,3091.9-3891.9,2505.9-3513.8,809,588
3500,1700,859,3094.3-3894.3,2643.0-3451.1,802,249
3500,1800,863,3089.7-3889.7,2645.8-3445.8,792,243
3500,1900,872,3095.6-3895.6,1352.6-2152.6,812,0
3500,2000,857,3092.0-3892.0,2652.9-3452.9,809,256
